PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
117,0,3,0,70,0,0,370369,7,2
118,0,2,0,29,1,0,11668,21,0
119,0,1,0,24,0,1,17558,247,1
120,0,3,1,2,4,2,347082,31,0
121,0,2,0,21,2,0,14879,73,0
122,0,3,0,0,0,0,4,8,0
123,0,2,0,32,1,0,237736,30,1
124,1,2,1,32,0,0,27267,13,0
125,0,1,0,54,0,1,35281,77,0
126,1,3,0,12,1,0,2651,11,1
127,0,3,0,0,0,0,370372,7,2
128,1,3,0,24,0,0,17369,7,0
129,1,3,1,0,1,1,2668,22,1
130,0,3,0,45,0,0,347061,6,0
131,0,3,0,33,0,0,349241,7,1
132,0,3,0,20,0,0,3101307,7,0
133,0,3,1,47,1,0,5,14,0
134,1,2,1,29,1,0,228414,26,0
135,0,2,0,25,0,0,29178,13,0
136,0,2,0,23,0,0,2133,15,1
137,1,1,1,19,0,2,11752,26,0
138,0,1,0,37,1,0,113803,53,0
139,0,3,0,16,0,0,7534,9,0
140,0,1,0,24,0,0,17593,79,1
141,0,3,1,0,0,2,2678,15,1
142,1,3,1,22,0,0,347081,7,0
143,1,3,1,24,1,0,2,15,0
144,0,3,0,19,0,0,365222,6,2
145,0,2,0,18,0,0,231945,11,0
146,0,2,0,19,1,1,33112,36,0
147,1,3,0,27,0,0,350043,7,0
148,0,3,1,9,2,2,6608,34,0
149,0,2,0,36,0,2,230080,26,0
150,0,2,0,42,0,0,244310,13,0
151,0,2,0,51,0,0,1166,12,0
152,1,1,1,22,1,0,113776,66,0
153,0,3,0,55,0,0,511206,8,0
154,0,3,0,40,0,2,5,14,0
155,0,3,0,0,0,0,265302,7,0
156,0,1,0,51,0,1,17597,61,1
157,1,3,1,16,0,0,35851,7,2
158,0,3,0,30,0,0,392090,8,0
159,0,3,0,0,0,0,315037,8,0
160,0,3,0,0,8,2,0,69,0
161,0,3,0,44,0,1,371362,16,0
162,1,2,1,40,0,0,33595,15,0
163,0,3,0,26,0,0,347068,7,0
164,0,3,0,17,0,0,315093,8,0
165,0,3,0,1,4,1,3101295,39,0
166,1,3,0,9,0,2,363291,20,0
167,1,1,1,0,0,1,113505,55,0
168,0,3,1,45,1,4,347088,27,0
169,0,1,0,0,0,0,17318,25,0
170,0,3,0,28,0,0,1601,56,0
171,0,1,0,61,0,0,111240,33,0
172,0,3,0,4,4,1,382652,29,2
173,1,3,1,1,1,1,347742,11,0
174,0,3,0,21,0,0,2,7,0
175,0,1,0,56,0,0,17764,30,1
176,0,3,0,18,1,1,350404,7,0
177,0,3,0,0,3,1,4133,25,0
178,0,1,1,50,0,0,17595,28,1
179,0,2,0,30,0,0,250653,13,0
180,0,3,0,36,0,0,0,0,0
181,0,3,1,0,8,2,0,69,0
182,0,2,0,0,0,0,2131,15,1
183,0,3,0,9,4,2,347077,31,0
184,1,2,0,1,2,1,230136,39,0
185,1,3,1,4,0,2,315153,22,0
186,0,1,0,0,0,0,113767,50,0
187,1,3,1,0,1,0,370365,15,2
188,1,1,0,45,0,0,111428,26,0
189,0,3,0,40,1,1,364849,15,2
190,0,3,0,36,0,0,349247,7,0
191,1,2,1,32,0,0,234604,13,0
192,0,2,0,19,0,0,28424,13,0
193,1,3,1,19,1,0,350046,7,0
194,1,2,0,3,1,1,230080,26,0
195,1,1,1,44,0,0,17610,27,1
196,1,1,1,58,0,0,17569,146,1
197,0,3,0,0,0,0,368703,7,2
198,0,3,0,42,0,1,4579,8,0
199,1,3,1,0,0,0,370370,7,2
200,0,2,1,24,0,0,248747,13,0
201,0,3,0,28,0,0,345770,9,0
202,0,3,0,0,8,2,0,69,0
203,0,3,0,34,0,0,3101264,6,0
204,0,3,0,45,0,0,2628,7,1
205,1,3,0,18,0,0,53540,8,0
206,0,3,1,2,0,1,347054,10,0
207,0,3,0,32,1,0,3101278,15,0
208,1,3,0,26,0,0,2699,18,1
209,1,3,1,16,0,0,367231,7,2
210,1,1,0,40,0,0,112277,31,1
211,0,3,0,24,0,0,3101311,7,0
212,1,2,1,35,0,0,13528,21,0
213,0,3,0,22,0,0,521174,7,0
214,0,2,0,30,0,0,250646,13,0
215,0,3,0,0,1,0,367229,7,2
216,1,1,1,31,1,0,35273,113,1
217,1,3,1,27,0,0,2,7,0
218,0,2,0,42,1,0,243847,27,0
219,1,1,1,32,0,0,11813,76,1
220,0,2,0,30,0,0,14208,10,0
221,1,3,0,16,0,0,392089,8,0
222,0,2,0,27,0,0,220367,13,0
223,0,3,0,51,0,0,21440,8,0
224,0,3,0,0,0,0,349234,7,0
225,1,1,0,38,1,0,19943,90,0
226,0,3,0,22,0,0,4348,9,0
227,1,2,0,19,0,0,751,10,0
228,0,3,0,20,0,0,521173,7,0
229,0,2,0,18,0,0,236171,13,0
230,0,3,1,0,3,1,4133,25,0
231,1,1,1,35,1,0,36973,83,0
232,0,3,0,29,0,0,347067,7,0
233,0,2,0,59,0,0,237442,13,0
234,1,3,1,5,4,2,347077,31,0
235,0,2,0,24,0,0,29566,10,0
236,0,3,1,0,0,0,6609,7,0
237,0,2,0,44,1,0,26707,26,0
238,1,2,1,8,0,2,31921,26,0
239,0,2,0,19,0,0,28665,10,0
240,0,2,0,33,0,0,1585,12,0
241,0,3,1,0,1,0,2665,14,1
242,1,3,1,0,1,0,367230,15,2
243,0,2,0,29,0,0,14263,10,0
244,0,3,0,22,0,0,2,7,0
245,0,3,0,30,0,0,2694,7,1
246,0,1,0,44,2,0,19928,90,2
247,0,3,1,25,0,0,347071,7,0
248,1,2,1,24,0,2,250649,14,0
249,1,1,0,37,1,1,11751,52,0
250,0,2,0,54,1,0,244252,26,0
251,0,3,0,0,0,0,362316,7,0
252,0,3,1,29,1,1,347054,10,0
253,0,1,0,62,0,0,113514,26,0
254,0,3,0,30,1,0,5,16,0
255,0,3,1,41,0,2,370129,20,0
256,1,3,1,29,0,2,2650,15,1
257,1,1,1,0,0,0,17585,79,1
258,1,1,1,30,0,0,110152,86,0
259,1,1,1,35,0,0,17755,512,1
260,1,2,1,50,0,1,230433,26,0
261,0,3,0,0,0,0,384461,7,2
262,1,3,0,3,4,2,347077,31,0
263,0,1,0,52,1,1,110413,79,0
264,0,1,0,40,0,0,112059,0,0
265,0,3,1,0,0,0,382649,7,2
266,0,2,0,36,0,0,17248,10,0
267,0,3,0,16,4,1,3101295,39,0
268,1,3,0,25,1,0,347083,7,0
269,1,1,1,58,0,1,17582,153,0
270,1,1,1,35,0,0,17760,135,0
271,0,1,0,0,0,0,113798,31,0
272,1,3,0,25,0,0,0,0,0
273,1,2,1,41,0,1,250644,19,0
274,0,1,0,37,0,1,17596,29,1
275,1,3,1,0,0,0,370375,7,2
276,1,1,1,63,1,0,13502,77,0
277,0,3,1,45,0,0,347073,7,0
278,0,2,0,0,0,0,239853,0,0
279,0,3,0,7,4,1,382652,29,2
280,1,3,1,35,1,1,2673,20,0
281,0,3,0,65,0,0,336439,7,2
282,0,3,0,28,0,0,347464,7,0
283,0,3,0,16,0,0,345778,9,0
284,1,3,0,19,0,0,5,8,0
285,0,1,0,0,0,0,113056,26,0
286,0,3,0,33,0,0,349239,8,1
287,1,3,0,30,0,0,345774,9,0
288,0,3,0,22,0,0,349206,7,0
289,1,2,0,42,0,0,237798,13,0
290,1,3,1,22,0,0,370373,7,2
291,1,1,1,26,0,0,19877,78,0
292,1,1,1,19,1,0,11967,91,1
293,0,2,0,36,0,0,2163,12,1
294,0,3,1,24,0,0,349236,8,0
295,0,3,0,24,0,0,349233,7,0
296,0,1,0,0,0,0,17612,27,1
297,0,3,0,23,0,0,2693,7,1
298,0,1,1,2,1,2,113781,151,0
299,1,1,0,0,0,0,19988,30,0
300,1,1,1,50,0,1,17558,247,1
301,1,3,1,0,0,0,9234,7,2
302,1,3,0,0,2,0,367226,23,2
303,0,3,0,19,0,0,0,0,0
304,1,2,1,0,0,0,226593,12,2
305,0,3,0,0,0,0,52466,8,0
306,1,1,0,0,1,2,113781,151,0
307,1,1,1,0,0,0,17421,110,1
308,1,1,1,17,1,0,17758,108,1
309,0,2,0,30,1,0,3381,24,1
310,1,1,1,30,0,0,17485,56,1
311,1,1,1,24,0,0,11767,83,1
312,1,1,1,18,2,2,17608,262,1
313,0,2,1,26,1,1,250651,26,0
314,0,3,0,28,0,0,349243,7,0
315,0,2,0,43,1,1,13529,26,0
316,1,3,1,26,0,0,347470,7,0
317,1,2,1,24,1,0,244367,26,0
318,0,2,0,54,0,0,29011,14,0
319,1,1,1,31,0,2,36928,164,0
320,1,1,1,40,1,1,16966,134,1
321,0,3,0,22,0,0,521172,7,0
322,0,3,0,27,0,0,349219,7,0
323,1,2,1,30,0,0,234818,12,2
324,1,2,1,22,1,1,248738,29,0
325,0,3,0,0,8,2,0,69,0
326,1,1,1,36,0,0,17760,135,1
327,0,3,0,61,0,0,345364,6,0
328,1,2,1,36,0,0,28551,13,0
329,1,3,1,31,1,1,363291,20,0
330,1,1,1,16,0,1,111361,57,1
331,1,3,1,0,2,0,367226,23,2
332,0,1,0,45,0,0,113043,28,0
333,0,1,0,38,0,1,17582,153,0
334,0,3,0,16,2,0,345764,18,0
335,1,1,1,0,1,0,17611,133,0
336,0,3,0,0,0,0,349225,7,0
337,0,1,0,29,1,0,113776,66,0
338,1,1,1,41,0,0,16966,134,1
339,1,3,0,45,0,0,7598,8,0
340,0,1,0,45,0,0,113784,35,0
341,1,2,0,2,1,1,230080,26,0
342,1,1,1,24,3,2,19950,263,0
343,0,2,0,28,0,0,248740,13,0
344,0,2,0,25,0,0,244361,13,0
345,0,2,0,36,0,0,229236,13,0
346,1,2,1,24,0,0,248733,13,0
347,1,2,1,40,0,0,31418,13,0
348,1,3,1,0,1,0,386525,16,0
349,1,3,0,3,1,1,37671,15,0
350,0,3,0,42,0,0,315088,8,0
351,0,3,0,23,0,0,7267,9,0
352,0,1,0,0,0,0,113510,35,0
353,0,3,0,15,1,1,2695,7,1
354,0,3,0,25,1,0,349237,17,0
355,0,3,0,0,0,0,2647,7,1
356,0,3,0,28,0,0,345783,9,0
357,1,1,1,22,0,1,113505,55,0
358,0,2,1,38,0,0,237671,13,0
359,1,3,1,0,0,0,330931,7,2
360,1,3,1,0,0,0,330980,7,2
361,0,3,0,40,1,4,347088,27,0
362,0,2,0,29,1,0,2167,27,1
363,0,3,1,45,0,1,2691,14,1
364,0,3,0,35,0,0,3101310,7,0
365,0,3,0,0,1,0,370365,15,2
366,0,3,0,30,0,0,7076,7,0
367,1,1,1,60,1,0,110813,75,1
368,1,3,1,0,0,0,2626,7,1
369,1,3,1,0,0,0,14313,7,2
370,1,1,1,24,0,0,17477,69,1
371,1,1,0,25,1,0,11765,55,1
372,0,3,0,18,1,0,3101267,6,0
373,0,3,0,19,0,0,323951,8,0
374,0,1,0,22,0,0,17760,135,1
375,0,3,1,3,3,1,349909,21,0
376,1,1,1,0,1,0,17604,82,1
377,1,3,1,22,0,0,7077,7,0
378,0,1,0,27,0,2,113503,211,1
379,0,3,0,20,0,0,2648,4,1
380,0,3,0,19,0,0,347069,7,0
381,1,1,1,42,0,0,17757,227,1
382,1,3,1,1,0,2,2653,15,1
383,0,3,0,32,0,0,2,7,0
384,1,1,1,35,1,0,113789,52,0
385,0,3,0,0,0,0,349227,7,0
386,0,2,0,18,0,0,14879,73,0
387,0,3,0,1,5,2,2144,46,0
388,1,2,1,36,0,0,27849,13,0
389,0,3,0,0,0,0,367655,7,2
390,1,2,1,17,0,0,1748,12,1
391,1,1,0,36,1,2,113760,120,0
392,1,3,0,21,0,0,350034,7,0
393,0,3,0,28,2,0,3101277,7,0
394,1,1,1,23,1,0,35273,113,1
395,1,3,1,24,0,2,9549,16,0
396,0,3,0,22,0,0,350052,7,0
397,0,3,1,31,0,0,350407,7,0
398,0,2,0,46,0,0,28403,26,0
399,0,2,0,23,0,0,244278,10,0
400,1,2,1,28,0,0,240929,12,0
401,1,3,0,39,0,0,2,7,0
402,0,3,0,26,0,0,341826,8,0
403,0,3,1,21,1,0,4137,9,0
404,0,3,0,28,1,0,2,15,0
405,0,3,1,20,0,0,315096,8,0
406,0,2,0,34,1,0,28664,21,0
407,0,3,0,51,0,0,347064,7,0
408,1,2,0,3,1,1,29106,18,0
409,0,3,0,21,0,0,312992,7,0
410,0,3,1,0,3,1,4133,25,0
411,0,3,0,0,0,0,349222,7,0
412,0,3,0,0,0,0,394140,6,2
413,1,1,1,33,1,0,19928,90,2
414,0,2,0,0,0,0,239853,0,0
415,1,3,0,44,0,0,2,7,0
416,0,3,1,0,0,0,343095,8,0
417,1,2,1,34,1,1,28220,32,0
418,1,2,1,18,0,2,250652,13,0
419,0,2,0,30,0,0,28228,13,0
420,0,3,1,10,0,2,345773,24,0
421,0,3,0,0,0,0,349254,7,1
422,0,3,0,21,0,0,5,7,2
423,0,3,0,29,0,0,315082,7,0
424,0,3,1,28,1,1,347080,14,0
425,0,3,0,18,1,1,370129,20,0
426,0,3,0,0,0,0,4,7,0
427,1,2,1,28,1,0,2003,26,0
428,1,2,1,19,0,0,250655,26,0
429,0,3,0,0,0,0,364851,7,2
430,1,3,0,32,0,0,392078,8,0
431,1,1,0,28,0,0,110564,26,0
432,1,3,1,0,1,0,376564,16,0
433,1,2,1,42,1,0,3085,26,0
434,0,3,0,17,0,0,2,7,0
435,0,1,0,50,1,0,13507,55,0
436,1,1,1,14,1,2,113760,120,0
437,0,3,1,21,2,2,6608,34,0
438,1,2,1,24,2,3,29106,18,0
439,0,1,0,64,1,4,19950,263,0
440,0,2,0,31,0,0,18723,10,0
441,1,2,1,45,1,1,13529,26,0
442,0,3,0,20,0,0,345769,9,0
443,0,3,0,25,1,0,347076,7,0
444,1,2,1,28,0,0,230434,13,0
445,1,3,0,0,0,0,65306,8,0
446,1,1,0,4,0,2,33638,81,0
447,1,2,1,13,0,1,250644,19,0
448,1,1,0,34,0,0,113794,26,0
449,1,3,1,5,2,1,2666,19,1
450,1,1,0,52,0,0,113786,30,0
451,0,2,0,36,1,2,34651,27,0
452,0,3,0,0,1,0,65303,19,0
453,0,1,0,30,0,0,113051,27,1
454,1,1,0,49,1,0,17453,89,1
455,0,3,0,0,0,0,52817,8,0
456,1,3,0,29,0,0,349240,7,1
457,0,1,0,65,0,0,13509,26,0
458,1,1,1,0,1,0,17464,51,0
459,1,2,1,50,0,0,13531,10,0
460,0,3,0,0,0,0,371060,7,2
461,1,1,0,48,0,0,19952,26,0
462,0,3,0,34,0,0,364506,8,0
463,0,1,0,47,0,0,111320,38,0
464,0,2,0,48,0,0,234360,13,0
465,0,3,0,0,0,0,2816,8,0
466,0,3,0,38,0,0,3101306,7,0
467,0,2,0,0,0,0,239853,0,0
468,0,1,0,56,0,0,113792,26,0
469,0,3,0,0,0,0,36209,7,2
470,1,3,1,0,2,1,2666,19,1
471,0,3,0,0,0,0,323592,7,0
472,0,3,0,38,0,0,315089,8,0
473,1,2,1,33,1,2,34651,27,0
474,1,2,1,23,0,0,541,13,1
475,0,3,1,22,0,0,7553,9,0
476,0,1,0,0,0,0,110465,52,0
477,0,2,0,34,1,0,31027,21,0
478,0,3,0,29,1,0,3460,7,0
479,0,3,0,22,0,0,350060,7,0
480,1,3,1,2,0,1,3101298,12,0
481,0,3,0,9,5,2,2144,46,0
482,0,2,0,0,0,0,239854,0,0
483,0,3,0,50,0,0,53594,8,0
484,1,3,1,63,0,0,4134,9,0
485,1,1,0,25,1,0,11967,91,1
486,0,3,1,0,3,1,4133,25,0
487,1,1,1,35,1,0,19943,90,0
488,0,1,0,58,0,0,11771,29,1
489,0,3,0,30,0,0,518509,8,0
490,1,3,0,9,1,1,37671,15,0
491,0,3,0,0,1,0,65304,19,0
492,0,3,0,21,0,0,3101317,7,0
493,0,1,0,55,0,0,113787,30,0
494,0,1,0,71,0,0,17609,49,1
495,0,3,0,21,0,0,445380,8,0
496,0,3,0,0,0,0,2627,14,1
497,1,1,1,54,1,0,36947,78,1
498,0,3,0,0,0,0,6212,15,0
499,0,1,1,25,1,2,113781,151,0
500,0,3,0,24,0,0,350035,7,0
501,0,3,0,17,0,0,315086,8,0
502,0,3,1,21,0,0,364846,7,2
503,0,3,1,0,0,0,330909,7,2
504,0,3,1,37,0,0,4135,9,0
505,1,1,1,16,0,0,110152,86,0
506,0,1,0,18,1,0,17758,108,1
507,1,2,1,33,0,2,26360,26,0
508,1,1,0,0,0,0,111427,26,0
509,0,3,0,28,0,0,4001,22,0
510,1,3,0,26,0,0,1601,56,0
511,1,3,0,29,0,0,382651,7,2
512,0,3,0,0,0,0,3101316,8,0
513,1,1,0,36,0,0,17473,26,0
514,1,1,1,54,1,0,17603,59,1
515,0,3,0,24,0,0,349209,7,0
516,0,1,0,47,0,0,36967,34,0
517,1,2,1,34,0,0,34260,10,0
518,0,3,0,0,0,0,371110,24,2
519,1,2,1,36,1,0,226875,26,0
520,0,3,0,32,0,0,349242,7,0
521,1,1,1,30,0,0,12749,93,0
522,0,3,0,22,0,0,349252,7,0
523,0,3,0,0,0,0,2624,7,1
524,1,1,1,44,0,1,111361,57,1
525,0,3,0,0,0,0,2700,7,1
526,0,3,0,40,0,0,367232,7,2
527,1,2,1,50,0,0,14258,10,0
528,0,1,0,0,0,0,17483,221,0
529,0,3,0,39,0,0,3101296,7,0
530,0,2,0,23,2,1,29104,11,0
531,1,2,1,2,1,1,26360,26,0
532,0,3,0,0,0,0,2641,7,1
533,0,3,0,17,1,1,2690,7,1
534,1,3,1,0,0,2,2668,22,1
535,0,3,1,30,0,0,315084,8,0
536,1,2,1,7,0,2,13529,26,0
537,0,1,0,45,0,0,113050,26,0
538,1,1,1,30,0,0,17761,106,1
539,0,3,0,0,0,0,364498,14,0
540,1,1,1,22,0,2,13568,49,1
541,1,1,1,36,0,2,5735,71,0
542,0,3,1,9,4,2,347082,31,0
543,0,3,1,11,4,2,347082,31,0
544,1,2,0,32,1,0,2908,26,0
545,0,1,0,50,1,0,17761,106,1
546,0,1,0,64,0,0,693,26,0
547,1,2,1,19,1,0,2908,26,0
548,1,2,0,0,0,0,2146,13,1
549,0,3,0,33,1,1,363291,20,0
550,1,2,0,8,1,1,33112,36,0
551,1,1,0,17,0,2,17421,110,1
552,0,2,0,27,0,0,244358,26,0
553,0,3,0,0,0,0,330979,7,2
554,1,3,0,22,0,0,2620,7,1
555,1,3,1,22,0,0,347085,7,0
556,0,1,0,62,0,0,113807,26,0
557,1,1,1,48,1,0,11755,39,1
558,0,1,0,0,0,0,17757,227,1
559,1,1,1,39,1,1,110413,79,0
560,1,3,1,36,1,0,345572,17,0
561,0,3,0,0,0,0,372622,7,2
562,0,3,0,40,0,0,349251,7,0
563,0,2,0,28,0,0,218629,13,0
564,0,3,0,0,0,0,392082,8,0
565,0,3,1,0,0,0,392087,8,0
566,0,3,0,24,2,0,448871,24,0
567,0,3,0,19,0,0,349205,7,0
568,0,3,1,29,0,4,349909,21,0
569,0,3,0,0,0,0,2686,7,1
570,1,3,0,32,0,0,350417,7,0
571,1,2,0,62,0,0,752,10,0
572,1,1,1,53,2,0,11769,51,0
573,1,1,0,36,0,0,17474,26,0
574,1,3,1,0,0,0,14312,7,2
575,0,3,0,16,0,0,4,8,0
576,0,3,0,19,0,0,358585,14,0
577,1,2,1,34,0,0,243880,13,0
578,1,1,1,39,1,0,13507,55,0
579,0,3,1,0,1,0,2689,14,1
580,1,3,0,32,0,0,2,7,0
581,1,2,1,25,1,1,237789,30,0
582,1,1,1,39,1,1,17421,110,1
583,0,2,0,54,0,0,28403,26,0
584,0,1,0,36,0,0,13049,40,1
585,0,3,0,0,0,0,3411,8,1
586,1,1,1,18,0,2,110413,79,0
587,0,2,0,47,0,0,237565,15,0
588,1,1,0,60,1,1,13567,79,1
589,0,3,0,22,0,0,14973,8,0
590,0,3,0,0,0,0,53235,8,0
591,0,3,0,35,0,0,2,7,0
592,1,1,1,52,1,0,36947,78,1
593,0,3,0,47,0,0,53902,7,0
594,0,3,1,0,0,2,364848,7,2
595,0,2,0,37,1,0,29037,26,0
596,0,3,0,36,1,1,345773,24,0
597,1,2,1,0,0,0,248727,33,0
598,0,3,0,49,0,0,0,0,0
599,0,3,0,0,0,0,2664,7,1
600,1,1,0,49,1,0,17485,56,1
601,1,2,1,24,2,1,243847,27,0
602,0,3,0,0,0,0,349214,7,0
603,0,1,0,0,0,0,113796,42,0
604,0,3,0,44,0,0,364511,8,0
605,1,1,0,35,0,0,111426,26,1
606,0,3,0,36,1,0,349910,15,0
607,0,3,0,30,0,0,349246,7,0
608,1,1,0,27,0,0,113804,30,0
609,1,2,1,22,1,2,2123,41,1
610,1,1,1,40,0,0,17582,153,0
611,0,3,1,39,1,5,347082,31,0
612,0,3,0,0,0,0,3101305,7,0
613,1,3,1,0,1,0,367230,15,2
614,0,3,0,0,0,0,370377,7,2
615,0,3,0,35,0,0,364512,8,0
616,1,2,1,24,1,2,220845,65,0
617,0,3,0,34,1,1,347080,14,0
618,0,3,1,26,1,0,5,16,0
619,1,2,1,4,2,1,230136,39,0
620,0,2,0,26,0,0,31028,10,0
621,0,3,0,27,1,0,2659,14,1
622,1,1,0,42,1,0,11753,52,0
623,1,3,0,20,1,1,2653,15,1
624,0,3,0,21,0,0,350029,7,0
625,0,3,0,21,0,0,54636,16,0
626,0,1,0,61,0,0,36963,32,0
627,0,2,0,57,0,0,219533,12,2
628,1,1,1,21,0,0,13502,77,0
629,0,3,0,26,0,0,349224,7,0
630,0,3,0,0,0,0,334912,7,2
631,1,1,0,80,0,0,27042,30,0
632,0,3,0,51,0,0,347743,7,0
633,1,1,0,32,0,0,13214,30,1
634,0,1,0,0,0,0,112052,0,0
635,0,3,1,9,3,2,347088,27,0
636,1,2,1,28,0,0,237668,13,0
637,0,3,0,32,0,0,2,7,0
638,0,2,0,31,1,1,31921,26,0
639,0,3,1,41,0,5,3101295,39,0
640,0,3,0,0,1,0,376564,16,0
641,0,3,0,20,0,0,350050,7,0
642,1,1,1,24,0,0,17477,69,1
643,0,3,1,2,3,2,347088,27,0
644,1,3,0,0,0,0,1601,56,0
645,1,3,1,0,2,1,2666,19,1
646,1,1,0,48,1,0,17572,76,1
647,0,3,0,19,0,0,349231,7,0
648,1,1,0,56,0,0,13213,35,1
649,0,3,0,0,0,0,751,7,0
650,1,3,1,23,0,0,0,7,0
651,0,3,0,0,0,0,349221,7,0
652,1,2,1,18,0,1,231919,23,0
653,0,3,0,21,0,0,8475,8,0
654,1,3,1,0,0,0,330919,7,2
655,0,3,1,18,0,0,365226,6,2
656,0,2,0,24,2,0,14879,73,0
657,0,3,0,0,0,0,349223,7,0
658,0,3,1,32,1,1,364849,15,2
659,0,2,0,23,0,0,29751,13,0
660,0,1,0,58,0,2,35273,113,1
661,1,1,0,50,2,0,17611,133,0
662,0,3,0,40,0,0,2623,7,1
663,0,1,0,47,0,0,5727,25,0
